marketplace,asin,action,source_id,source_row,enabled
MY,B06ZZQWMF2,BLOCK,COMMUNITY_NG_ASIN_20260916,3,TRUE
MY,B0BKGKZF91,BLOCK,COMMUNITY_NG_ASIN_20260916,4,TRUE
MY,B0C5J6MYGJ,BLOCK,COMMUNITY_NG_ASIN_20260916,5,TRUE
PH,B00N44RLQ0,BLOCK,COMMUNITY_NG_ASIN_20260916,6,TRUE
PH,B00XTZXC5S,BLOCK,COMMUNITY_NG_ASIN_20260916,7,TRUE
PH,B07864V3H6,BLOCK,COMMUNITY_NG_ASIN_20260916,4,TRUE
PH,B07864XVDJ,BLOCK,COMMUNITY_NG_ASIN_20260916,5,TRUE
PH,B07SJYWHZ8,BLOCK,COMMUNITY_NG_ASIN_20260916,9,TRUE
PH,B0822DVKDC,BLOCK,COMMUNITY_NG_ASIN_20260916,3,TRUE
PH,B0BKGKZF91,BLOCK,COMMUNITY_NG_ASIN_20260916,8,TRUE
PH,B0C5J6MYGJ,BLOCK,COMMUNITY_NG_ASIN_20260916,10,TRUE
SG,B007Q9573S,BLOCK,COMMUNITY_NG_ASIN_20260916,21,TRUE
SG,B00MG84XN4,BLOCK,COMMUNITY_NG_ASIN_20260916,22,TRUE
SG,B07DT4HH72,BLOCK,COMMUNITY_NG_ASIN_20260916,18,TRUE
SG,B07RPBDXHM,BLOCK,COMMUNITY_NG_ASIN_20260916,3,TRUE
SG,B07RVMNVD9,BLOCK,COMMUNITY_NG_ASIN_20260916,19,TRUE
SG,B07ZJY8XLH,BLOCK,COMMUNITY_NG_ASIN_20260916,14,TRUE
SG,B07ZNKLPGT,BLOCK,COMMUNITY_NG_ASIN_20260916,5,TRUE
SG,B07ZNKP6XV,BLOCK,COMMUNITY_NG_ASIN_20260916,8,TRUE
SG,B091K45T8M,BLOCK,COMMUNITY_NG_ASIN_20260916,10,TRUE
SG,B091K4FLWP,BLOCK,COMMUNITY_NG_ASIN_20260916,12,TRUE
SG,B091KLZMJ7,BLOCK,COMMUNITY_NG_ASIN_20260916,9,TRUE
SG,B092DKN91Y,BLOCK,COMMUNITY_NG_ASIN_20260916,25,TRUE
SG,B09LPZ628F,BLOCK,COMMUNITY_NG_ASIN_20260916,17,TRUE
SG,B09LQDNG7K,BLOCK,COMMUNITY_NG_ASIN_20260916,7,TRUE
SG,B09LQLJBVC,BLOCK,COMMUNITY_NG_ASIN_20260916,15,TRUE
SG,B09VXYC5QR,BLOCK,COMMUNITY_NG_ASIN_20260916,4,TRUE
SG,B0BKGKZF91,BLOCK,COMMUNITY_NG_ASIN_20260916,20,TRUE
SG,B0C5J6MYGJ,BLOCK,COMMUNITY_NG_ASIN_20260916,24,TRUE
SG,B0CKBRXD63,BLOCK,COMMUNITY_NG_ASIN_20260916,16,TRUE
SG,B0CP583MX1,BLOCK,COMMUNITY_NG_ASIN_20260916,23,TRUE
TH,B0BKGKZF91,BLOCK,COMMUNITY_NG_ASIN_20260916,3,TRUE
TH,B0C5J6MYGJ,BLOCK,COMMUNITY_NG_ASIN_20260916,4,TRUE
TW,B000FQU6JO,BLOCK,COMMUNITY_NG_ASIN_20260916,13,TRUE
TW,B00ITGM4G0,BLOCK,COMMUNITY_NG_ASIN_20260916,9,TRUE
TW,B00ZYUNK1W,BLOCK,COMMUNITY_NG_ASIN_20260916,12,TRUE
TW,B01HP700WI,BLOCK,COMMUNITY_NG_ASIN_20260916,7,TRUE
TW,B0734BM24Z,BLOCK,COMMUNITY_NG_ASIN_20260916,10,TRUE
TW,B073WWTCKR,BLOCK,COMMUNITY_NG_ASIN_20260916,5,TRUE
TW,B07NF22TP7,BLOCK,COMMUNITY_NG_ASIN_20260916,6,TRUE
TW,B07P34L28N,BLOCK,COMMUNITY_NG_ASIN_20260916,8,TRUE
TW,B07PRT1D4G,BLOCK,COMMUNITY_NG_ASIN_20260916,3,TRUE
TW,B08HNVGLQQ,BLOCK,COMMUNITY_NG_ASIN_20260916,4,TRUE
TW,B091F788N6,BLOCK,COMMUNITY_NG_ASIN_20260916,11,TRUE
TW,B0BKGKZF91,BLOCK,COMMUNITY_NG_ASIN_20260916,14,TRUE
TW,B0C5J6MYGJ,BLOCK,COMMUNITY_NG_ASIN_20260916,15,TRUE
