marketplace,brand_key,match_value,action,source_id,source_row,enabled
MY,eisai,エーザイ,BLOCK,COMMUNITY_NG_BRAND_20260916,9,TRUE
MY,gourmandise,Gourmandise,BLOCK,COMMUNITY_NG_BRAND_20260916,4,TRUE
MY,gourmandise,グルマンディーズ,BLOCK,COMMUNITY_NG_BRAND_20260916,3,TRUE
MY,nivea,nivea,BLOCK,COMMUNITY_NG_BRAND_20260916,7,TRUE
MY,oxo,OXO,BLOCK,COMMUNITY_NG_BRAND_20260916,5,TRUE
MY,rohto,ロート製薬,BLOCK,COMMUNITY_NG_BRAND_20260916,8,TRUE
MY,sennheiser,ゼンハイザー,BLOCK,COMMUNITY_NG_BRAND_20260916,10,TRUE
MY,zojirushi,ZOJIRUSHI,BLOCK,COMMUNITY_NG_BRAND_20260916,6,TRUE
PH,bose,Bose,BLOCK,COMMUNITY_NG_BRAND_20260916,14,TRUE
PH,eisai,エーザイ,BLOCK,COMMUNITY_NG_BRAND_20260916,15,TRUE
PH,endgame-gear,Endgame Gear,BLOCK,COMMUNITY_NG_BRAND_20260916,13,TRUE
PH,gourmandise,Gourmandise,BLOCK,COMMUNITY_NG_BRAND_20260916,4,TRUE
PH,gourmandise,グルマンディーズ,BLOCK,COMMUNITY_NG_BRAND_20260916,3,TRUE
PH,lego,LEGO,BLOCK,COMMUNITY_NG_BRAND_20260916,10,TRUE
PH,loreal,L'OREAL,BLOCK,COMMUNITY_NG_BRAND_20260916,8,TRUE
PH,nivea,nivea,BLOCK,COMMUNITY_NG_BRAND_20260916,9,TRUE
PH,oxo,OXO,BLOCK,COMMUNITY_NG_BRAND_20260916,5,TRUE
PH,rohto,ロート製薬,BLOCK,COMMUNITY_NG_BRAND_20260916,12,TRUE
PH,schleich,Schleich,BLOCK,COMMUNITY_NG_BRAND_20260916,7,TRUE
PH,sennheiser,ゼンハイザー,BLOCK,COMMUNITY_NG_BRAND_20260916,16,TRUE
PH,shu-uemura,Shu Uemura,BLOCK,COMMUNITY_NG_BRAND_20260916,11,TRUE
PH,zojirushi,ZOJIRUSHI,BLOCK,COMMUNITY_NG_BRAND_20260916,6,TRUE
SG,and-honey,&honey,BLOCK,COMMUNITY_NG_BRAND_20260916,10,TRUE
SG,citizen,シチズン,BLOCK,COMMUNITY_NG_BRAND_20260916,15,TRUE
SG,eisai,エーザイ,BLOCK,COMMUNITY_NG_BRAND_20260916,13,TRUE
SG,g-shock,G-SHOCK,BLOCK,COMMUNITY_NG_BRAND_20260916,14,TRUE
SG,g-shock,G=SHOCK,BLOCK,COMMUNITY_NG_BRAND_20260916,14,TRUE
SG,gourmandise,Gourmandise,BLOCK,COMMUNITY_NG_BRAND_20260916,4,TRUE
SG,gourmandise,グルマンディーズ,BLOCK,COMMUNITY_NG_BRAND_20260916,3,TRUE
SG,nivea,nivea,BLOCK,COMMUNITY_NG_BRAND_20260916,11,TRUE
SG,oxo,OXO,BLOCK,COMMUNITY_NG_BRAND_20260916,5,TRUE
SG,rohto,ロート製薬,BLOCK,COMMUNITY_NG_BRAND_20260916,12,TRUE
SG,sennheiser,ゼンハイザー,BLOCK,COMMUNITY_NG_BRAND_20260916,16,TRUE
SG,shiseido,資生堂,BLOCK,COMMUNITY_NG_BRAND_20260916,7,TRUE
SG,stanley,STANLEY,BLOCK,COMMUNITY_NG_BRAND_20260916,8,TRUE
SG,zojirushi,ZOJIRUSHI,BLOCK,COMMUNITY_NG_BRAND_20260916,6,TRUE
TH,eisai,エーザイ,BLOCK,COMMUNITY_NG_BRAND_20260916,9,TRUE
TH,gourmandise,Gourmandise,BLOCK,COMMUNITY_NG_BRAND_20260916,4,TRUE
TH,gourmandise,グルマンディーズ,BLOCK,COMMUNITY_NG_BRAND_20260916,3,TRUE
TH,nivea,nivea,BLOCK,COMMUNITY_NG_BRAND_20260916,7,TRUE
TH,oxo,OXO,BLOCK,COMMUNITY_NG_BRAND_20260916,5,TRUE
TH,rohto,ロート製薬,BLOCK,COMMUNITY_NG_BRAND_20260916,8,TRUE
TH,sennheiser,ゼンハイザー,BLOCK,COMMUNITY_NG_BRAND_20260916,10,TRUE
TH,zojirushi,ZOJIRUSHI,BLOCK,COMMUNITY_NG_BRAND_20260916,6,TRUE
TW,eisai,エーザイ,BLOCK,COMMUNITY_NG_BRAND_20260916,9,TRUE
TW,gourmandise,Gourmandise,BLOCK,COMMUNITY_NG_BRAND_20260916,4,TRUE
TW,gourmandise,グルマンディーズ,BLOCK,COMMUNITY_NG_BRAND_20260916,3,TRUE
TW,nivea,nivea,BLOCK,COMMUNITY_NG_BRAND_20260916,7,TRUE
TW,oxo,OXO,BLOCK,COMMUNITY_NG_BRAND_20260916,5,TRUE
TW,rohto,ロート製薬,BLOCK,COMMUNITY_NG_BRAND_20260916,8,TRUE
TW,sennheiser,ゼンハイザー,BLOCK,COMMUNITY_NG_BRAND_20260916,10,TRUE
TW,zojirushi,ZOJIRUSHI,BLOCK,COMMUNITY_NG_BRAND_20260916,6,TRUE
VN,eisai,エーザイ,BLOCK,COMMUNITY_NG_BRAND_20260916,5,TRUE
VN,rohto,ロート製薬,BLOCK,COMMUNITY_NG_BRAND_20260916,4,TRUE
